0, 11, 2.966262
0, 15, 4.444494
0, 26, 3.615404
0, 39, 2.794066
1, 3, 1.636765
1, 10, 2.087716
1, 13, 1.896815
1, 22, 1.899453
1, 23, 1.467378
1, 25, 2.031631
1, 26, 2.948041
2, 30, 2.214267
2, 36, 2.707585
3, 17, 0.306621
3, 20, 0.568265
3, 23, 0.139800
3, 32, 0.882612
3, 38, 0.122505
4, 19, 5.911453
4, 27, 5.184406
4, 31, 5.424907
4, 33, 5.950664
5, 7, 8.982081
5, 29, 9.230861
5, 34, 7.923999
6, 1, 4.074619
7, 6, 6.572648
7, 34, 7.181918
8, 18, 7.883084
8, 35, 7.490705
9, 2, 0.612271
9, 20, 0.440851
9, 24, 1.280333
9, 30, 1.317580
10, 3, 0.480539
10, 13, 0.740589
10, 17, 0.144330
10, 20, 0.117313
10, 22, 0.743228
10, 23, 0.311152
10, 25, 0.875405
10, 32, 0.431661
10, 38, 0.328447
11, 2, 0.077551
11, 9, 0.819136
11, 10, 1.142673
11, 39, 1.181660
12, 0, 4.676361
12, 11, 3.063955
12, 15, 4.542187
12, 26, 3.713097
12, 39, 2.891759
13, 3, 0.289637
13, 17, 0.046571
13, 20, 0.308215
13, 23, 0.120250
13, 32, 0.622562
13, 38, 0.137545
14, 19, 6.678991
14, 21, 7.315271
14, 28, 7.861029
14, 33, 6.718202
15, 11, 2.832088
15, 26, 3.481231
15, 39, 2.659892
16, 14, 5.221690
16, 31, 4.977122
17, 16, 2.324598
17, 20, 0.904474
17, 32, 1.218821
18, 0, 5.971853
18, 12, 6.069546
18, 15, 5.837680
18, 35, 6.972659
19, 21, 7.557249
19, 33, 6.960180
19, 37, 8.450701
20, 24, 2.005600
20, 30, 2.042846
20, 32, 1.480464
20, 36, 2.536164
21, 28, 8.739286
22, 3, 0.292276
22, 13, 0.552326
22, 17, 0.043933
22, 20, 0.305576
22, 23, 0.122889
22, 32, 0.619923
22, 38, 0.140184
23, 16, 2.157776
23, 17, 0.476008
23, 20, 0.737652
23, 32, 1.051999
24, 4, 3.873510
24, 27, 4.155979
24, 30, 2.882329
24, 36, 3.375647
25, 3, 0.424454
25, 13, 0.684504
25, 17, 0.088245
25, 20, 0.173399
25, 22, 0.687142
25, 23, 0.255067
25, 32, 0.487746
25, 38, 0.272361
26, 9, 1.468278
26, 10, 1.791816
26, 11, 2.002999
26, 13, 1.600914
26, 22, 1.603553
26, 39, 1.830802
27, 19, 6.193922
27, 31, 5.707377
27, 33, 6.233133
29, 6, 6.821427
29, 7, 8.488779
29, 34, 7.430697
30, 4, 3.910756
30, 27, 4.193225
30, 36, 3.412893
31, 14, 6.192446
31, 19, 6.434424
31, 21, 7.070704
31, 28, 7.616461
31, 33, 6.473634
32, 16, 2.900589
32, 24, 2.319947
32, 30, 2.357193
32, 36, 2.850512
33, 21, 7.596460
33, 37, 8.489912
34, 1, 4.683889
34, 6, 5.514566
35, 0, 5.579474
35, 12, 5.677167
35, 15, 5.445300
36, 4, 4.404074
36, 19, 5.413590
36, 27, 4.686543
36, 31, 4.927045
36, 33, 5.452801
38, 16, 2.140481
38, 17, 0.458714
38, 20, 0.720357
38, 23, 0.291892
38, 32, 1.034704
39, 2, 0.249747
39, 9, 0.646940
39, 10, 0.970477
39, 20, 0.078327
39, 30, 0.955056
