# The matrix below (in CSV format) is a %d x %d weight matrix for the perfect matching problem.
 12, 588, 425, 851, 594, 810, 549, 782,   0, 656, 406,   0, 436,  10, 120, 277,  65, 436, 379,   6, 
 38, 173, 384,  69, 123,   8, 603,  69, 745,  76, 701, 809, 426, 514, 153, 642, 767, 176, 954, 516, 
 84, 102, 791,  17, 780, 203,   0, 493, 934, 764,   0, 905, 168,   3,  16,  78,   1, 743, 962,  22, 
689, 217, 984, 574, 337, 747,   4,  76,  48, 425,  61,  26, 266,  47, 497,   3, 458, 305, 484,  13, 
273, 135, 828,   5, 896,   0,  14,  40, 911,  10, 105, 220, 141, 195, 796, 856,  82, 123, 438,  55, 
236,  56,   1, 267, 530, 588, 344, 166,  55, 439, 512, 187, 303, 106,  93, 200,  48, 214, 303,  89, 
449, 216,  53, 924, 371,  19, 931, 846, 289,  37, 818, 153,  14, 200,  21, 460, 184, 717,  42, 540, 
847,  20, 371, 860, 567, 154, 221, 250, 906, 211,   9,  37, 322, 611,  56, 672, 772, 285,   6,   0, 
  0, 800, 379,  36, 411, 278,  32, 511, 554, 631, 278, 424, 262, 398, 123, 434, 265, 146, 316,  66, 
672, 782,  60, 555, 106, 779, 895, 537, 125,   2,  35, 615, 875, 269,  25,  15, 722, 478, 552,   0, 
851, 506,  97, 935, 878, 562,   6, 179, 237, 316,  11,  92,  55,  14, 767,  54, 784,  17,  68, 533, 
 75,   2, 165,  90, 990,  86, 689,   0, 158,  44, 374, 424, 473, 844, 118,  16, 905, 457,  66, 293, 
386, 885,  14, 104, 235, 200, 824,   4, 196, 142, 310,  51, 344, 179, 278, 188, 450, 626, 756, 988, 
758, 864,  30,  55, 382,  34, 328,  87, 314, 230, 104, 871,  61, 255, 239,  92, 205, 208, 965,  21, 
647, 949, 230, 308, 664, 260,   0, 747, 159, 928, 412,   4,  77,   0, 622, 379, 707, 283,  50, 359, 
143, 182, 851, 249,   7,   1, 628, 558,   8, 122, 183,  73, 639,   3, 141, 687,   3, 313,  21, 989, 
676, 828,  99, 486, 207, 352,  10,  13, 300,  27,  68, 814, 963, 334, 645, 949, 583,  10,   0, 631, 
285, 287, 404, 232, 311, 964, 611, 462, 439, 510, 204, 530, 893,  10,   6, 253, 529,   0, 409, 984, 
410,  11, 521, 667, 302, 106, 614, 145,  15, 302, 115,  51, 721, 562,  33, 389,   1,   1,   1,  57, 
  1, 570,  72,  27, 996,  54,  11, 276, 394,  38,  30,  42, 136,  90,  14, 574, 952, 795,  15, 662, 
